Participant,Condition,Yoking,Sex,Age,Object_Right,Habituation_Goal,Reach_Type,First_Test_Trial,Hab1,Hab2,Hab3,First3Hab,EndHab1,EndHab2,EndHab3,Last3Hab,Number_Hab_Trials,Habituated_or_No,Familiarization_Trial,OldGoal_1,NewGoal_1,OldGoal_2,NewGoal_2,OldGoal_3,NewGoal_3,OldGoal_Total,NewGoal_Total,OldGoal_Avg,NewGoal_Avg,,,,
234,Observation,24,Male,4.00,Ball,Bear,Far,old,4.47,10.41,2.2,17.08,2.4,3.27,1.15,6.82,7,Yes,1.56,1.16,1.76,2.32,0.5,1.72,2.56,5.2,4.82,1.73,1.61,,,,
168,Control,15,Male,3.57,Bear,Bear,Near,old,4.82,8.63,4.77,18.22,30.15,19.22,25.42,74.79,14,No,,6.67,7.22,18.25,1.58,12.5,1.33,37.5,10.13,12.48,3.38,,,,
169,Control,1,Female,3.43,Bear,Ball,Far,new,6.37,16.62,3.22,26.21,2.88,2.38,2.68,7.94,9,Yes,,11.92,0.07,58.62,4.5,1.6,35.08,72.1,39.65,24.05,13.22,,,,
171,Control,11,Female,3.57,Ball,Ball,Near,new,29.58,32.9,4.45,66.93,6.95,1.07,15.33,23.35,6,Yes,,46.48,2.3,43.6,23,7.1,28.4,97.2,53.7,32.4,17.9,,,,
174,Control,18,Female,3,Ball,Bear,Far,new,10.1,1.27,0.48,11.85,9.53,0.22,1.05,10.8,11,Yes,,1.28,15.4,7.77,3.88,,,9.1,19.28,4.53,9.64,,,,
175,Control,16,Female,3.5,Bear,Bear,Near,new,5.1,6.98,29.73,41.81,1.85,9.17,4.03,15.05,9,Yes,,40.52,4.22,11.25,2.35,8.7,2.53,60.4,9.1,20.14,3.03,,,,
178,Control,4,Female,3.3,Ball,Bear,Far,new,30.83,21.57,5.42,57.82,22.32,3.98,1.4,27.7,7,Yes,,6.3,1.32,,,,,1.3,6.3,1.32,6.3,,,,
180,Control,19,Male,3.1,Ball,Ball,Near,old,2.9,1.47,29.93,34.3,12.68,1.02,2.02,15.72,13,Yes,,6.35,20.08,31.22,43.47,4.1,21.62,41.7,85.17,13.9,28.39,,,,
181,Control,17,Male,3.03,Bear,Bear,Near,old,46.03,1.53,0.98,48.54,0.72,1.15,1.47,3.34,7,Yes,,0.98,0.9,1.2,8.57,27.1,2.02,29.2,11.49,9.74,3.83,,,,
182,Control,13,Female,3.13,Ball,Ball,Near,old,3.1,11.55,12.73,27.38,1.05,4.85,4.98,10.88,7,Yes,,15.85,10.55,10.25,9.38,1.9,6,28,25.93,9.32,8.64,,,,
183,Control,9,Male,3.3,Ball,Bear,Far,new,8.9,17.73,3.85,30.48,0.43,1.38,2.22,4.03,6,Yes,,1.23,1.12,3.35,0.62,2.5,2.2,7.1,3.94,2.36,1.31,,,,
186,Control,24,Female,3.4,Ball,Bear,Far,old,26.87,18.87,6.45,52.19,7.38,3.47,7.37,18.22,6,Yes,,10.53,12.05,8.62,2,1.5,13.58,20.6,27.63,6.88,9.21,,,,
187,Control,5,Male,3.63,Ball,Ball,Near,new,10.98,3.98,2.18,17.14,7.15,2.88,2.5,12.53,14,Yes,,4.03,2.52,2.28,2.57,2.7,6.38,9,11.47,2.99,3.82,,,,
189,Control,12,Male,3.97,Bear,Ball,Far,new,2.48,2.53,8.95,13.96,12.78,37.48,12.57,62.83,14,Yes,,32.25,24.87,,,,,32.3,24.87,32.25,24.87,,,,
191,Control,22,Male,3.3,Bear,Bear,Near,new,6.73,3.12,2.5,12.35,2.95,7.22,5.43,15.6,14,No,,1.18,1.43,1.77,3.85,3.4,3.13,6.3,8.41,2.1,2.8,,,,
193,Control,2,Male,3.9,Bear,Bear,Near,new,6.98,9,11.47,27.45,6.15,4.45,0.72,11.32,14,Yes,,0.13,6.12,2.1,0.9,1.8,2.37,4,9.39,1.33,3.13,,,,
194,Control,7,Male,3.53,Ball,Ball,Near,old,12.77,3.87,10.07,26.71,3.25,3.23,4.37,10.85,9,Yes,,7.18,3.87,1.08,3.03,14.3,1.93,22.5,8.83,7.5,2.94,,,,
196,Control,10,Male,3.43,Bear,Ball,Far,new,5.32,2.5,11.84,19.66,0.18,1.11,1.38,2.67,8,Yes,,5.61,5.16,4.35,5.61,1.4,9.28,11.3,20.05,3.78,6.68,,,,
201,Control,23,Male,3.6,Bear,Ball,Far,old,44.07,3.42,2.23,49.72,6.38,3.19,2.66,12.23,6,Yes,,6.17,3.5,0.86,0.75,5.5,11.22,12.6,15.47,4.19,5.16,,,,
204,Control,21,Female,3.4,Ball,Ball,Near,new,16.26,3.02,1.36,20.64,2.48,0.7,1.78,4.96,7,Yes,,1.69,0.5,1.46,4.2,2,3.31,5.1,8.01,1.7,2.67,,,,
205,Control,14,Female,3.43,Bear,Ball,Far,old,5.21,15.95,3.9,25.06,3.05,1.86,2.61,7.52,9,Yes,,5.78,3.38,3.56,10.33,2.3,5.02,11.6,18.73,3.87,6.24,,,,
210,Control,6,Female,3.57,Ball,Bear,Far,old,3.91,5.19,3.68,12.78,3.27,0.87,1.22,5.36,11,Yes,,4.65,0.7,0.87,0.1,0.5,0.94,6,1.74,2.01,0.58,,,,
211,Control,3,Female,3.3,Bear,Ball,Far,old,31.26,9.44,53.67,94.37,44.66,33.4,59.41,137.47,14,No,,70.46,31.56,14.06,12.02,21.9,10.01,106.4,53.59,35.46,17.86,,,,
212,Control,8,Male,3.43,Bear,Bear,Near,old,9.46,21.42,2.37,33.25,4.1,5.15,3.73,12.98,9,Yes,,20.52,14.1,1.84,2.95,14.1,9.09,36.5,26.14,12.17,8.71,,,,
213,Control,20,Female,3.77,Ball,Bear,Far,old,9.21,5.33,3.41,17.95,1.82,0.73,2.07,4.62,6,Yes,,1.81,0.91,1.49,1.37,12.5,3.04,15.8,5.32,5.26,1.77,,,,
