subj,condition,ageday,exp_look,unexp_look,sex,paper
28,3_statechangenobarrier,114,11.7,12.6,f,liu2019
29,3_statechangenobarrier,112,4.266667,5.6,f,liu2019
30,3_statechangenobarrier,105,4.7,6.2,m,liu2019
31,3_statechangenobarrier,93,10.4,5.233333,m,liu2019
32,3_statechangenobarrier,91,28.366667,16.7,m,liu2019
33,3_statechangenobarrier,113,5.833333,6.833333,f,liu2019
34,3_statechangenobarrier,93,13.5,31.566667,m,liu2019
35,3_statechangenobarrier,121,5.066667,5.533333,m,liu2019
36,3_statechangenobarrier,122,6.7,6.233333,m,liu2019
37,3_statechangenobarrier,118,5.8,4.9,m,liu2019
38,3_statechangenobarrier,101,7.566667,4.466667,f,liu2019
39,3_statechangenobarrier,115,1.79,2.223333,f,liu2019
40,3_statechangenobarrier,95,5.833333,7.566667,f,liu2019
41,4_statechangenotcausal,109,8.67,11.17,m,liu2019
42,4_statechangenotcausal,112,5.3,3.7,m,liu2019
43,4_statechangenotcausal,104,18.2,7.1,f,liu2019
44,4_statechangenotcausal,99,18.5,15.3,f,liu2019
45,4_statechangenotcausal,104,17.03,10.43,f,liu2019
46,4_statechangenotcausal,93,6.33,6.9,f,liu2019
47,4_statechangenotcausal,107,9.27,6.93,m,liu2019
48,4_statechangenotcausal,121,8.93,7.13,m,liu2019
49,4_statechangenotcausal,102,8.03,16.9,f,liu2019
50,4_statechangenotcausal,107,12,18.67,f,liu2019
51,4_statechangenotcausal,107,13.63,35.27,m,liu2019
52,4_statechangenotcausal,118,9.67,9.3,f,liu2019
53,4_statechangenotcausal,120,26.83,24.2,f,liu2019
54,4_statechangenotcausal,114,31.37,16.67,m,liu2019
55,4_statechangenotcausal,97,34.83,11.1,m,liu2019
56,4_statechangenotcausal,98,21.53,18.73,f,liu2019
57,4_statechangenotcausal,107,7.83,12.03,f,liu2019
58,4_statechangenotcausal,121,35.97,31.3,f,liu2019
59,4_statechangenotcausal,95,23.7,20.93,f,liu2019
60,4_statechangenotcausal,99,9.97,22.37,m,liu2019
61,5_statechangenotcausal,95,12.92,3.93,m,liu2019
62,5_statechangenotcausal,112,4.1,3.1,f,liu2019
63,5_statechangenotcausal,120,6.62,6.56,m,liu2019
64,5_statechangenotcausal,99,12.54,6.09,f,liu2019
65,5_statechangenotcausal,113,25.44,8.94,m,liu2019
66,5_statechangenotcausal,119,3.23,10.12,m,liu2019
67,5_statechangenotcausal,93,7.39,8.9,m,liu2019
68,5_statechangenotcausal,112,45,37.39,m,liu2019
69,5_statechangenotcausal,106,7.6,15.16,m,liu2019
70,5_statechangenotcausal,99,13.17,6.8,f,liu2019
71,5_statechangenotcausal,97,19.16,12.43,m,liu2019
72,5_statechangenotcausal,119,21.22,10.6,f,liu2019
73,5_statechangenotcausal,114,10.92,16.2,m,liu2019
74,5_statechangenotcausal,120,3.95,2.11,m,liu2019
75,5_statechangenotcausal,120,5.04,6.67,m,liu2019
76,5_statechangenotcausal,117,4.62,3.25,m,liu2019
77,5_statechangenotcausal,105,8.86,17.93,f,liu2019
78,5_statechangenotcausal,114,9.92,12.11,f,liu2019
79,5_statechangenotcausal,105,9.09,8.91,m,liu2019
80,5_statechangenotcausal,98,37.47,18.94,f,liu2019
81,5_statechangenotcausal,118,6.7,10.9,m,liu2019
82,5_statechangenotcausal,93,9.42,26.33,f,liu2019
83,5_statechangenotcausal,112,27.79,17.09,f,liu2019
84,5_statechangenotcausal,120,3.16,5.79,m,liu2019
85,5_statechangenotcausal,120,11.63,12.54,m,liu2019
86,5_statechangenotcausal,97,8.12,7.49,m,liu2019
87,5_statechangecausal,112,15.43,16.62,f,liu2019
88,5_statechangecausal,106,6.04,7.88,m,liu2019
89,5_statechangecausal,96,1.82,9.93,f,liu2019
90,5_statechangecausal,110,5.49,3.73,m,liu2019
91,5_statechangecausal,99,11.13,17.57,f,liu2019
92,5_statechangecausal,109,8.69,9.3,m,liu2019
93,5_statechangecausal,100,8.25,11.18,m,liu2019
94,5_statechangecausal,112,2.24,4.19,m,liu2019
95,5_statechangecausal,102,11.52,6.09,f,liu2019
96,5_statechangecausal,96,8.33,18.82,m,liu2019
97,5_statechangecausal,102,2.98,3.14,f,liu2019
98,5_statechangecausal,97,7.54,7.18,f,liu2019
99,5_statechangecausal,113,6.24,8.02,m,liu2019
100,5_statechangecausal,95,1.82,4.33,m,liu2019
101,5_statechangecausal,92,8.75,19.16,m,liu2019
102,5_statechangecausal,103,6.51,6.78,f,liu2019
103,5_statechangecausal,104,2.39,5.27,f,liu2019
104,5_statechangecausal,107,5.69,12.25,f,liu2019
105,5_statechangecausal,112,3.41,7.82,f,liu2019
106,5_statechangecausal,109,22.99,35.05,m,liu2019
107,5_statechangecausal,121,8.79,16.78,m,liu2019
108,5_statechangecausal,92,8.52,16.28,f,liu2019
109,5_statechangecausal,98,6.34,22.55,m,liu2019
110,5_statechangecausal,119,13.18,12.78,m,liu2019
111,5_statechangecausal,120,9.59,6.73,m,liu2019
112,5_statechangecausal,109,8.89,26.88,f,liu2019
113,1_pickupglove,103,29.25,24.98,m,liu2019
114,1_pickupglove,102,20.39,30.41,f,liu2019
115,1_pickupglove,113,19.25,21.41,f,liu2019
116,1_pickupglove,101,21.31,21.02,m,liu2019
117,1_pickupglove,107,24.05,22.81,f,liu2019
118,1_pickupglove,100,8.55,5.86,f,liu2019
119,1_pickupglove,113,19.35,15.59,m,liu2019
120,1_pickupglove,122,8.93,6.85,m,liu2019
121,1_pickupglove,102,16.51,13.69,f,liu2019
122,1_pickupglove,105,16.52,5.99,f,liu2019
123,1_pickupglove,92,13.09,20.46,m,liu2019
124,1_pickupglove,110,11.05,18.74,m,liu2019
125,1_pickupglove,118,11.83,12.66,m,liu2019
126,1_pickupglove,114,34.74,40.02,f,liu2019
127,1_pickupglove,105,15.33,17.1,f,liu2019
128,1_pickupglove,111,18.09,24.68,f,liu2019
129,1_pickupglove,97,11.61,5.9,m,liu2019
130,1_pickupglove,110,7.73,17.67,f,liu2019
131,1_pickupglove,117,20.72,22.83,m,liu2019
132,1_pickupglove,116,8.58,11.9,f,liu2019
133,2_pickupbarehand,100,11.866667,7.596667,f,liu2019
134,2_pickupbarehand,107,18.316667,30.903333,m,liu2019
135,2_pickupbarehand,93,7.226667,7.873333,f,liu2019
136,2_pickupbarehand,116,4.556667,5.393333,m,liu2019
137,2_pickupbarehand,98,10.793333,8.786667,m,liu2019
138,2_pickupbarehand,117,4.236667,9.57,f,liu2019
139,2_pickupbarehand,104,3.11,4.336667,m,liu2019
140,2_pickupbarehand,116,4.913333,2.59,m,liu2019
141,2_pickupbarehand,118,11.643333,18.67,f,liu2019
142,2_pickupbarehand,101,5.53,5.64,f,liu2019
143,2_pickupbarehand,120,5.456667,5.73,f,liu2019
144,2_pickupbarehand,108,7.75,8.273333,m,liu2019
145,2_pickupbarehand,109,10.696667,9.36,m,liu2019
146,2_pickupbarehand,97,7.956667,13.206667,f,liu2019
147,2_pickupbarehand,104,4.453333,9,f,liu2019
148,2_pickupbarehand,110,5.64,7.013333,f,liu2019
149,2_pickupbarehand,113,13.28,9.71,f,liu2019
150,2_pickupbarehand,105,5.626667,6.58,m,liu2019
151,2_pickupbarehand,116,8.873333,9.253333,f,liu2019
152,2_pickupbarehand,107,8.793333,14.813333,f,liu2019
1,1_statechange_objectswap,120.32,12.38733333,16.524,f,woo_unpublished
2,1_statechange_objectswap,95.32,13.158,10.676,m,woo_unpublished
3,1_statechange_objectswap,95.32,45.254,45.22,m,woo_unpublished
4,1_statechange_objectswap,101.32,10.336,12.58,f,woo_unpublished
5,1_statechange_objectswap,95.32,5.661,15.198,m,woo_unpublished
6,1_statechange_objectswap,103.32,9.945,11.22,f,woo_unpublished
7,1_statechange_objectswap,103.32,44.55133333,34.82733333,f,woo_unpublished
8,1_statechange_objectswap,119.32,28.93966667,43.37266667,f,woo_unpublished
9,1_statechange_objectswap,115.32,9.814666667,26.18,f,woo_unpublished
10,1_statechange_objectswap,120.32,15.742,8.318666667,m,woo_unpublished
11,1_statechange_objectswap,109.32,11.084,20.842,f,woo_unpublished
12,1_statechange_objectswap,103.32,31.994,30.85266667,f,woo_unpublished
13,1_statechange_objectswap,109.32,26.57666667,21.27266667,m,woo_unpublished
14,1_statechange_objectswap,119.32,15.95733333,15.82133333,m,woo_unpublished
15,1_statechange_objectswap,105.32,22.97266667,23.74333333,m,woo_unpublished
16,1_statechange_objectswap,100.32,21.39733333,10.22266667,m,woo_unpublished
17,1_statechange_objectswap,99.32,40.12,29.784,m,woo_unpublished
18,1_statechange_objectswap,97.32,32.58333333,28.88866667,m,woo_unpublished
19,1_statechange_objectswap,93.32,9.939333333,18.45066667,m,woo_unpublished
20,1_statechange_objectswap,104.32,14.63133333,9.758,m,woo_unpublished
1,2_disambiguatingobjectgoal,100.32,1.416666667,3.556666667,F,woo_unpublished
2,2_disambiguatingobjectgoal,121.76,3.96,18.665,M,woo_unpublished
3,2_disambiguatingobjectgoal,119.32,4.93,3.575,M,woo_unpublished
4,2_disambiguatingobjectgoal,98.32,5.145,10.12,M,woo_unpublished
5,2_disambiguatingobjectgoal,96.32,10.28333333,6.36,F,woo_unpublished
6,2_disambiguatingobjectgoal,97.32,6.956666667,16.81333333,F,woo_unpublished
7,2_disambiguatingobjectgoal,115.32,2.443333333,3.646666667,F,woo_unpublished
8,2_disambiguatingobjectgoal,97.32,1.57,1.723333333,F,woo_unpublished
9,2_disambiguatingobjectgoal,114.32,8.67,9.763333333,M,woo_unpublished
10,2_disambiguatingobjectgoal,95.32,12.88333333,10.10666667,M,woo_unpublished
11,2_disambiguatingobjectgoal,113.32,2.893333333,8.16,M,woo_unpublished
12,2_disambiguatingobjectgoal,109.32,9.183333333,8.04,F,woo_unpublished
13,2_disambiguatingobjectgoal,113.32,3.456666667,5.526666667,F,woo_unpublished
14,2_disambiguatingobjectgoal,96.32,5.79,22.77333333,M,woo_unpublished
15,2_disambiguatingobjectgoal,111.32,7.603333333,7.6,M,woo_unpublished
16,2_disambiguatingobjectgoal,99.32,10.76666667,10.07666667,M,woo_unpublished
17,2_disambiguatingobjectgoal,97.32,10.79333333,11.49666667,F,woo_unpublished
18,2_disambiguatingobjectgoal,98.32,4.06,12.41,M,woo_unpublished
19,2_disambiguatingobjectgoal,91.32,46.13666667,64.75,M,woo_unpublished
20,2_disambiguatingobjectgoal,94.32,11.58666667,34.12333333,M,woo_unpublished
21,2_disambiguatingobjectgoal,96.32,7.47,9.49,M,woo_unpublished
22,2_disambiguatingobjectgoal,121.32,18.27666667,7.53,F,woo_unpublished
23,2_disambiguatingobjectgoal,109.32,3.946666667,6.17,M,woo_unpublished
24,2_disambiguatingobjectgoal,91.32,24.26666667,23.17333333,M,woo_unpublished
