subj,condition,ageday,exp_look,unexp_look,sex,paper
69,4_constrainedactionhabituation,96,18.133333,7.533333,f,skerry2013
70,4_constrainedactionhabituation,114,7.3,11.466667,f,skerry2013
71,4_constrainedactionhabituation,119,6.9,11.166667,m,skerry2013
72,4_constrainedactionhabituation,115,7.866667,12.233333,m,skerry2013
73,4_constrainedactionhabituation,94,5.5,15.1,f,skerry2013
74,4_constrainedactionhabituation,107,7.1,7.033333,f,skerry2013
75,4_constrainedactionhabituation,118,5.1,6.833333,f,skerry2013
76,4_constrainedactionhabituation,118,10.366667,19.033333,m,skerry2013
77,4_constrainedactionhabituation,98,5.766667,16.633333,m,skerry2013
78,4_constrainedactionhabituation,96,2.866667,5.933333,m,skerry2013
79,4_constrainedactionhabituation,95,9.333333,6.8,m,skerry2013
80,4_constrainedactionhabituation,111,12.133333,12.633333,f,skerry2013
81,4_constrainedactionhabituation,110,9.133333,11.3,f,skerry2013
82,4_constrainedactionhabituation,97,6.233333,8,f,skerry2013
83,4_constrainedactionhabituation,93,11.666667,19.033333,f,skerry2013
84,4_constrainedactionhabituation,118,7.566667,6.366667,m,skerry2013
85,4_constrainedactionhabituation,112,9.733333,6.3,f,skerry2013
86,4_constrainedactionhabituation,103,20.7,25.866667,m,skerry2013
87,5_unconstrainedactionhabituation,93,6.2,11.966667,f,skerry2013
88,5_unconstrainedactionhabituation,114,6.4,9.333333,f,skerry2013
89,5_unconstrainedactionhabituation,110,9.933333,15.5,m,skerry2013
90,5_unconstrainedactionhabituation,98,35.466667,39.933333,f,skerry2013
91,5_unconstrainedactionhabituation,103,9.066667,6.866667,m,skerry2013
92,5_unconstrainedactionhabituation,114,19.4,14.533333,f,skerry2013
93,5_unconstrainedactionhabituation,100,19.4,12.433333,f,skerry2013
94,5_unconstrainedactionhabituation,111,28.333333,22.766667,m,skerry2013
95,5_unconstrainedactionhabituation,109,6.3,5.733333,m,skerry2013
96,5_unconstrainedactionhabituation,98,45,45,m,skerry2013
97,5_unconstrainedactionhabituation,102,5.5,3.966667,f,skerry2013
98,5_unconstrainedactionhabituation,106,12.433333,8.2,f,skerry2013
99,5_unconstrainedactionhabituation,105,9.033333,10.933333,f,skerry2013
100,5_unconstrainedactionhabituation,115,6.866667,8.433333,m,skerry2013
101,5_unconstrainedactionhabituation,119,16.3,6.433333,m,skerry2013
102,5_unconstrainedactionhabituation,103,6.366667,6.433333,f,skerry2013
103,5_unconstrainedactionhabituation,122,7.7,9.733333,f,skerry2013
104,5_unconstrainedactionhabituation,105,17.666667,10.633333,f,skerry2013
105,5_unconstrainedactionhabituation,118,5.366667,7.266667,m,skerry2013
106,5_unconstrainedactionhabituation,102,16.266667,16.3,f,skerry2013
107,5_unconstrainedactionhabituation,122,6.6,10.066667,m,skerry2013
108,5_unconstrainedactionhabituation,110,6.033333,25.966667,m,skerry2013
109,5_unconstrainedactionhabituation,114,10.466667,11.066667,m,skerry2013
110,5_unconstrainedactionhabituation,100,14.833333,12.633333,m,skerry2013
111,5_unconstrainedactionhabituation,100,9.7,14.4,m,skerry2013
112,5_unconstrainedactionhabituation,96,32.3,26.066667,f,skerry2013
1,1_Active,94.364,9.1,3.02,Female,gerson2014a
2,1_Active,106.54,9.72,19.15,Female,gerson2014a
3,1_Active,117.8028,5.5,8.42,Female,gerson2014a
4,1_Active,98.3212,2.04,5.36,Female,gerson2014a
5,1_Active,106.54,52.2,48.4,Female,gerson2014a
6,1_Active,114.7588,9.27,6.63,Female,gerson2014a
7,1_Active,118.716,2.15,6.35,Female,gerson2014a
8,1_Active,105.6268,15.3,5.07,Male,gerson2014a
9,1_Active,101.3652,9.97,12.26,Male,gerson2014a
10,1_Active,101.3652,4.45,17.83,Male,gerson2014a
11,1_Active,104.4092,1.86,3.02,Male,gerson2014a
12,1_Active,107.4532,10.31,7.09,Female,gerson2014a
13,1_Active,121.76,26.02,64,Male,gerson2014a
14,1_Active,112.628,3.12,10.65,Female,gerson2014a
15,1_Active,108.6708,0.9,1.28,Male,gerson2014a
16,1_Active,103.496,9.16,4.41,Female,gerson2014a
17,1_Active,91.32,1.26,4.32,Male,gerson2014a
18,1_Active,94.364,3.28,9.89,Female,gerson2014a
19,1_Active,121.76,1.79,3.04,Female,gerson2014a
20,1_Active,99.5388,5.84,2.25,Female,gerson2014a
21,1_Active,91.32,40.54,29.56,Male,gerson2014a
22,1_Active,113.5412,3.74,12.25,Male,gerson2014a
23,1_Active,103.496,8.67,15.26,Female,gerson2014a
24,1_Active,94.364,3.53,5.27,Male,gerson2014a
25,1_Observation,119.6292,5.58,9.82,Female,gerson2014a
26,1_Observation,100.452,15.29,9.94,Female,gerson2014a
27,1_Observation,94.364,4.33,8.91,Male,gerson2014a
28,1_Observation,94.364,15.39,21.74,Female,gerson2014a
29,1_Observation,95.2772,3.91,3.97,Male,gerson2014a
30,1_Observation,94.364,17.52,39.43,Male,gerson2014a
31,1_Observation,96.4948,10.74,1.01,Male,gerson2014a
32,1_Observation,121.76,6.65,7.84,Male,gerson2014a
