"","subj","paper","MA_condition","ageday","exp_look","unexp_look","sex","experiment","condition","task","training_yesno","action_consequence","actor_hand","agent_efficient_fam","object_diff_size_huge","action_causal","location_object_goal_ambiguous","bothobjects_present_visible_fam","agent","PI_group","look_pref"
"149","149","gerson2014a","1_Active",94.364,9.1,3.02,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-6.08
"150","150","gerson2014a","1_Active",106.54,9.72,19.15,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",9.43
"151","151","gerson2014a","1_Active",117.8028,5.5,8.42,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.92
"152","152","gerson2014a","1_Active",98.3212,2.04,5.36,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",3.32
"153","153","gerson2014a","1_Active",106.54,52.2,48.4,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.8
"154","154","gerson2014a","1_Active",114.7588,9.27,6.63,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-2.64
"155","155","gerson2014a","1_Active",118.716,2.15,6.35,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",4.2
"156","156","gerson2014a","1_Active",105.6268,15.3,5.07,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-10.23
"157","157","gerson2014a","1_Active",101.3652,9.97,12.26,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.29
"158","158","gerson2014a","1_Active",101.3652,4.45,17.83,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",13.38
"159","159","gerson2014a","1_Active",104.4092,1.86,3.02,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.16
"160","160","gerson2014a","1_Active",107.4532,10.31,7.09,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.22
"161","161","gerson2014a","1_Active",121.76,26.02,64,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",37.98
"162","162","gerson2014a","1_Active",112.628,3.12,10.65,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",7.53
"163","163","gerson2014a","1_Active",108.6708,0.9,1.28,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.38
"164","164","gerson2014a","1_Active",103.496,9.16,4.41,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-4.75
"165","165","gerson2014a","1_Active",91.32,1.26,4.32,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",3.06
"166","166","gerson2014a","1_Active",94.364,3.28,9.89,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",6.61
"167","167","gerson2014a","1_Active",121.76,1.79,3.04,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.25
"168","168","gerson2014a","1_Active",99.5388,5.84,2.25,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.59
"169","169","gerson2014a","1_Active",91.32,40.54,29.56,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-10.98
"170","170","gerson2014a","1_Active",113.5412,3.74,12.25,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",8.51
"171","171","gerson2014a","1_Active",103.496,8.67,15.26,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",6.59
"172","172","gerson2014a","1_Active",94.364,3.53,5.27,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.74
"173","173","gerson2014a","1_Observation",119.6292,5.58,9.82,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",4.24
"174","174","gerson2014a","1_Observation",100.452,15.29,9.94,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.35
"175","175","gerson2014a","1_Observation",94.364,4.33,8.91,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",4.58
"176","176","gerson2014a","1_Observation",94.364,15.39,21.74,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",6.35
"177","177","gerson2014a","1_Observation",95.2772,3.91,3.97,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.0600000000000001
"178","178","gerson2014a","1_Observation",94.364,17.52,39.43,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",21.91
"179","179","gerson2014a","1_Observation",96.4948,10.74,1.01,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-9.73
"180","180","gerson2014a","1_Observation",121.76,6.65,7.84,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.19
"181","181","gerson2014a","1_Observation",119.6292,12.35,11.81,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.539999999999999
"182","182","gerson2014a","1_Observation",104.4092,4.69,1.32,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.37
"183","183","gerson2014a","1_Observation",97.408,33.4,5.92,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-27.48
"184","184","gerson2014a","1_Observation",106.54,5.24,1.37,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.87
"185","185","gerson2014a","1_Observation",119.6292,1.18,2.58,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.4
"186","186","gerson2014a","1_Observation",110.4972,3.2,5.8,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.6
"187","187","gerson2014a","1_Observation",98.3212,8.21,4.15,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-4.06
"188","188","gerson2014a","1_Observation",110.4972,2.34,3.01,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.67
"189","189","gerson2014a","1_Observation",99.5388,3.3,2.07,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.23
"190","190","gerson2014a","1_Observation",119.6292,4.93,14.53,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",9.6
"191","191","gerson2014a","1_Observation",106.54,3.35,1.59,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.76
"192","192","gerson2014a","1_Observation",110.4972,2.45,1.79,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.66
"193","193","gerson2014a","1_Observation",105.6268,6.46,5.57,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.89
"194","194","gerson2014a","1_Observation",116.5852,3.37,6.92,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",3.55
"195","195","gerson2014a","1_Observation",91.32,33.88,10.43,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-23.45
"196","196","gerson2014a","1_Observation",121.76,1.73,1.61,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.12
"197","197","gerson2014a","1_Control",108.6708,12.48,3.38,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-9.1
"198","198","gerson2014a","1_Control",104.4092,24.05,13.22,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-10.83
"199","199","gerson2014a","1_Control",108.6708,32.4,17.9,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-14.5
"200","200","gerson2014a","1_Control",91.32,4.53,9.64,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",5.11
"201","201","gerson2014a","1_Control",106.54,20.14,3.03,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-17.11
"202","202","gerson2014a","1_Control",100.452,1.32,6.3,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",4.98
"203","203","gerson2014a","1_Control",94.364,13.9,28.39,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",14.49
"204","204","gerson2014a","1_Control",92.2332,9.74,3.83,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.91
"205","205","gerson2014a","1_Control",95.2772,9.32,8.64,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.68
"206","206","gerson2014a","1_Control",100.452,2.36,1.31,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.05
"207","207","gerson2014a","1_Control",103.496,6.88,9.21,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.33
"208","208","gerson2014a","1_Control",110.4972,2.99,3.82,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.83
"209","209","gerson2014a","1_Control",120.8468,32.25,24.87,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-7.38
"210","210","gerson2014a","1_Control",100.452,2.1,2.8,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.7
"211","211","gerson2014a","1_Control",118.716,1.33,3.13,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.8
"212","212","gerson2014a","1_Control",107.4532,7.5,2.94,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-4.56
"213","213","gerson2014a","1_Control",104.4092,3.78,6.68,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.9
"214","214","gerson2014a","1_Control",109.584,4.19,5.16,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.97
"215","215","gerson2014a","1_Control",103.496,1.7,2.67,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.97
"216","216","gerson2014a","1_Control",104.4092,3.87,6.24,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.37
"217","217","gerson2014a","1_Control",108.6708,2.01,0.58,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.43
"218","218","gerson2014a","1_Control",100.452,35.46,17.86,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-17.6
"219","219","gerson2014a","1_Control",104.4092,12.17,8.71,"m","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.46
"220","220","gerson2014a","1_Control",114.7588,5.26,1.77,"f","1","1_control","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.49
"221","221","gerson2014b","1_Active",106.54,2.81,5.36,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.55
"222","222","gerson2014b","1_Active",98.3212,5.89,4.24,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.65
"223","223","gerson2014b","1_Active",119.6292,4.48,18.61,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",14.13
"224","224","gerson2014b","1_Active",104.4092,3.99,2.15,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.84
"225","225","gerson2014b","1_Active",116.5852,2.29,6.68,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",4.39
"226","226","gerson2014b","1_Active",105.6268,5.89,16.85,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",10.96
"227","227","gerson2014b","1_Active",96.4948,3.67,4.5,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.83
"228","228","gerson2014b","1_Active",106.54,6.49,7.95,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.46
"229","229","gerson2014b","1_Active",116.5852,5.42,12.54,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",7.12
"230","230","gerson2014b","1_Active",125.7172,3.42,2.25,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.17
"231","231","gerson2014b","1_Active",113.5412,1.97,1.95,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.02
"232","232","gerson2014b","1_Active",119.6292,9.08,14.44,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",5.36
"233","233","gerson2014b","1_Active",104.4092,4.72,10.55,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",5.83
"234","234","gerson2014b","1_Active",105.6268,6.03,9.9,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",3.87
"235","235","gerson2014b","1_Active",111.7148,3.11,10.2,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",7.09
"236","236","gerson2014b","1_Active",91.32,2.96,2.23,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.73
"237","237","gerson2014b","1_Active",94.364,4.4,34.12,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",29.72
"238","238","gerson2014b","1_Active",120.8468,13.27,3.38,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-9.89
"239","239","gerson2014b","1_Active",110.4972,5.98,1.14,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-4.84
"240","240","gerson2014b","1_Active",109.584,3.81,31.49,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",27.68
"241","241","gerson2014b","1_Active",97.408,11.47,13.73,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.26
"242","242","gerson2014b","1_Active",93.4508,17.19,16.59,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.600000000000001
"243","243","gerson2014b","1_Active",119.6292,6.87,0.81,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-6.06
"244","244","gerson2014b","1_Active",107.4532,13.76,7.9,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.86
"245","245","gerson2014b","1_Active",107.4532,0.85,1.45,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.6
"246","246","gerson2014b","1_Active",95.2772,3.98,4.15,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.17
"247","247","gerson2014b","1_Active",102.5828,4.49,2.4,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-2.09
"248","248","gerson2014b","1_Active",107.4532,1.07,2.83,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.76
"249","249","gerson2014b","1_Active",94.364,5.57,3.44,"f","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-2.13
"250","250","gerson2014b","1_Active",121.76,19.64,29.22,"m","1","1_active","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",9.58
"251","251","gerson2014b","1_Observation",104.4092,7.87,3.23,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-4.64
"252","252","gerson2014b","1_Observation",104.4092,4.39,5.47,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.08
"253","253","gerson2014b","1_Observation",119.6292,3.18,2.96,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.22
"254","254","gerson2014b","1_Observation",97.408,4.38,2.9,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.48
"255","255","gerson2014b","1_Observation",118.716,1.53,3.18,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.65
"256","256","gerson2014b","1_Observation",105.6268,10.91,9.76,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.15
"257","257","gerson2014b","1_Observation",125.7172,2.24,1.81,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.43
"258","258","gerson2014b","1_Observation",104.4092,10.13,10.76,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.629999999999999
"259","259","gerson2014b","1_Observation",115.672,2.46,3.26,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.8
"260","260","gerson2014b","1_Observation",98.3212,9.82,9.56,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.26
"261","261","gerson2014b","1_Observation",118.716,0.49,1.32,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.83
"262","262","gerson2014b","1_Observation",119.6292,7.34,4.82,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-2.52
"263","263","gerson2014b","1_Observation",100.452,52.53,17.25,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-35.28
"264","264","gerson2014b","1_Observation",97.408,12.24,16.43,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",4.19
"265","265","gerson2014b","1_Observation",111.7148,1.73,1.99,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.26
"266","266","gerson2014b","1_Observation",95.2772,39.79,20.73,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-19.06
"267","267","gerson2014b","1_Observation",92.2332,8.8,4.75,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-4.05
"268","268","gerson2014b","1_Observation",119.6292,1.47,5.2,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",3.73
"269","269","gerson2014b","1_Observation",111.7148,13.64,9.61,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-4.03
"270","270","gerson2014b","1_Observation",98.3212,14.99,4.36,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-10.63
"271","271","gerson2014b","1_Observation",96.4948,28.26,35.27,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",7.01
"272","272","gerson2014b","1_Observation",99.5388,14.59,6.85,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-7.74
"273","273","gerson2014b","1_Observation",113.5412,10.79,12.48,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.69
"274","274","gerson2014b","1_Observation",114.7588,6.75,2.85,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.9
"275","275","gerson2014b","1_Observation",95.2772,6.12,31.9,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",25.78
"276","276","gerson2014b","1_Observation",93.4508,2.95,19.34,"m","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",16.39
"277","277","gerson2014b","1_Observation",97.408,6.49,1.33,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.16
"278","278","gerson2014b","1_Observation",113.5412,3.84,5.24,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.4
"279","279","gerson2014b","1_Observation",95.2772,9.67,12.38,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.71
"280","280","gerson2014b","1_Observation",104.4092,4.49,2.83,"f","1","1_observation","goals","no","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.66
"281","281","gerson2014b","2_Generalization",121.76,4.38,3.66,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.72
"282","282","gerson2014b","2_Generalization",109.584,2.18,0.18,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-2
"283","283","gerson2014b","2_Generalization",118.716,1.98,1.83,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.15
"284","284","gerson2014b","2_Generalization",115.672,2.38,1.59,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.79
"285","285","gerson2014b","2_Generalization",122.6732,3.84,4.07,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.23
"286","286","gerson2014b","2_Generalization",110.4972,2.32,2.74,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.42
"287","287","gerson2014b","2_Generalization",116.5852,2.32,6.21,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",3.89
"288","288","gerson2014b","2_Generalization",109.584,2.95,4.27,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.32
"289","289","gerson2014b","2_Generalization",113.5412,7.39,2.25,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.14
"290","290","gerson2014b","2_Generalization",107.4532,2.93,5.27,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",2.34
"291","291","gerson2014b","2_Generalization",112.628,1.21,1.57,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",0.36
"292","292","gerson2014b","2_Generalization",106.54,2.98,2.24,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.74
"293","293","gerson2014b","2_Generalization",118.716,5.18,3.56,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.62
"294","294","gerson2014b","2_Generalization",118.716,1.28,0.93,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.35
"295","295","gerson2014b","2_Generalization",111.7148,6.52,1.19,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.33
"296","296","gerson2014b","2_Generalization",121.76,8.22,14.14,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",5.92
"297","297","gerson2014b","2_Generalization",108.6708,11.47,11.39,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.0800000000000001
"298","298","gerson2014b","2_Generalization",109.584,3.26,7.92,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",4.66
"299","299","gerson2014b","2_Generalization",114.7588,2.4,12.82,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",10.42
"300","300","gerson2014b","2_Generalization",94.364,12.19,9.34,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-2.85
"301","301","gerson2014b","2_Generalization",95.2772,5.79,7.74,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1.95
"302","302","gerson2014b","2_Generalization",102.5828,14.41,14.04,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-0.370000000000001
"303","303","gerson2014b","2_Generalization",116.5852,9.18,3.77,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.41
"304","304","gerson2014b","2_Generalization",109.584,6.13,4.72,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-1.41
"305","305","gerson2014b","2_Generalization",119.6292,12.87,7.55,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-5.32
"306","306","gerson2014b","2_Generalization",108.6708,9.16,25.15,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",15.99
"307","307","gerson2014b","2_Generalization",107.4532,4.86,13.45,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",8.59
"308","308","gerson2014b","2_Generalization",121.76,5.32,6.32,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",1
"309","309","gerson2014b","2_Generalization",111.7148,17.85,13.98,"f","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.87
"310","310","gerson2014b","2_Generalization",125.7172,23.2,19.44,"m","2","2_generalization","goals","yes","none","mittened",NA,"no","no","yes","yes","hand","woodward",-3.76
"311","311","choi_unpub","1_equidistant",126.76,14.6,9.25,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-5.35
"312","312","choi_unpub","1_equidistant",126.76,12.9,23,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",10.1
"313","313","choi_unpub","1_equidistant",105.32,6.9,12.3,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",5.4
"314","314","choi_unpub","1_equidistant",85.88,36.9,57.5,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",20.6
"315","315","choi_unpub","1_equidistant",119.32,7.3,7.45,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",0.15
"316","316","choi_unpub","1_equidistant",115.32,24.1,33.9,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",9.8
"317","317","choi_unpub","1_equidistant",130.76,20.9,12.4,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-8.5
"318","318","choi_unpub","1_equidistant",137.76,25.65,32.5,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",6.85
"319","319","choi_unpub","1_equidistant",115.32,13.55,6.55,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-7
"320","320","choi_unpub","1_equidistant",91.32,45.55,45.2,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-0.349999999999994
"321","321","choi_unpub","1_equidistant",88.88,41.2,60,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",18.8
"322","322","choi_unpub","1_equidistant",99.32,41.2,60,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",18.8
"323","323","choi_unpub","1_equidistant",95.32,50.7,60,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",9.3
"324","324","choi_unpub","1_equidistant",76.88,34.6,47.9,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",13.3
"325","325","choi_unpub","1_equidistant",117.32,41.05,35.25,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-5.8
"326","326","choi_unpub","1_equidistant",83.88,8.8,12.1,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",3.3
"327","327","choi_unpub","1_equidistant",125.76,12,6.35,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-5.65
