"44","3_notraining",118,14.433333,7.533333,"m","X[[i]]"
"45","3_notraining",118,7.4,10.166667,"m","X[[i]]"
"46","3_notraining",111,18.466667,6.466667,"m","X[[i]]"
"47","3_notraining",91,18.733333,14.833333,"m","X[[i]]"
"48","3_notraining",108,22.066667,15.666667,"f","X[[i]]"
"49","3_notraining",93,11.166667,8.133333,"m","X[[i]]"
"50","3_notraining",120,24.2,9.933333,"m","X[[i]]"
"51","3_notraining",109,4.4,4.133333,"m","X[[i]]"
"52","3_notraining",110,10.1,15.1,"f","X[[i]]"
"53","3_notraining",113,8.4,11.833333,"m","X[[i]]"
"54","3_notraining",121,24.033333,29.833333,"f","X[[i]]"
"55","3_notraining",103,14.666667,13.466667,"f","X[[i]]"
"56","3_notraining",104,9.266667,6.033333,"f","X[[i]]"
"57","3_notraining",104,16.7,13.166667,"f","X[[i]]"
"58","3_notraining",104,19.833333,18.6,"f","X[[i]]"
"59","3_notraining",97,27.166667,29.566667,"f","X[[i]]"
"60","3_notraining",105,9.6,10.7,"m","X[[i]]"
"61","4_constrainedactionhabituation",117,12.033333,14.6,"m","X[[i]]"
"62","4_constrainedactionhabituation",112,4.866667,9.233333,"m","X[[i]]"
"63","4_constrainedactionhabituation",116,7.5,11.8,"f","X[[i]]"
"64","4_constrainedactionhabituation",120,6.366667,10.466667,"m","X[[i]]"
"65","4_constrainedactionhabituation",95,20.6,18,"m","X[[i]]"
"66","4_constrainedactionhabituation",112,6.333333,7.033333,"m","X[[i]]"
"67","4_constrainedactionhabituation",100,4.966667,4.866667,"f","X[[i]]"
"68","4_constrainedactionhabituation",118,11.566667,19.3,"f","X[[i]]"
"69","4_constrainedactionhabituation",96,18.133333,7.533333,"f","X[[i]]"
"70","4_constrainedactionhabituation",114,7.3,11.466667,"f","X[[i]]"
"71","4_constrainedactionhabituation",119,6.9,11.166667,"m","X[[i]]"
"72","4_constrainedactionhabituation",115,7.866667,12.233333,"m","X[[i]]"
"73","4_constrainedactionhabituation",94,5.5,15.1,"f","X[[i]]"
"74","4_constrainedactionhabituation",107,7.1,7.033333,"f","X[[i]]"
