subj,paper,MA_condition,ageday,exp_look,unexp_look,sex
105,skerry2013,4_constrainedactionhabituation,96,18.133333,7.533333,f
106,skerry2013,4_constrainedactionhabituation,114,7.3,11.466667,f
107,skerry2013,4_constrainedactionhabituation,119,6.9,11.166667,m
108,skerry2013,4_constrainedactionhabituation,115,7.866667,12.233333,m
109,skerry2013,4_constrainedactionhabituation,94,5.5,15.1,f
110,skerry2013,4_constrainedactionhabituation,107,7.1,7.033333,f
111,skerry2013,4_constrainedactionhabituation,118,5.1,6.833333,f
112,skerry2013,4_constrainedactionhabituation,118,10.366667,19.033333,m
113,skerry2013,4_constrainedactionhabituation,98,5.766667,16.633333,m
114,skerry2013,4_constrainedactionhabituation,96,2.866667,5.933333,m
115,skerry2013,4_constrainedactionhabituation,95,9.333333,6.8,m
116,skerry2013,4_constrainedactionhabituation,111,12.133333,12.633333,f
117,skerry2013,4_constrainedactionhabituation,110,9.133333,11.3,f
118,skerry2013,4_constrainedactionhabituation,97,6.233333,8,f
119,skerry2013,4_constrainedactionhabituation,93,11.666667,19.033333,f
120,skerry2013,4_constrainedactionhabituation,118,7.566667,6.366667,m
121,skerry2013,4_constrainedactionhabituation,112,9.733333,6.3,f
122,skerry2013,4_constrainedactionhabituation,103,20.7,25.866667,m
123,skerry2013,5_unconstrainedactionhabituation,93,6.2,11.966667,f
124,skerry2013,5_unconstrainedactionhabituation,114,6.4,9.333333,f
125,skerry2013,5_unconstrainedactionhabituation,110,9.933333,15.5,m
126,skerry2013,5_unconstrainedactionhabituation,98,35.466667,39.933333,f
127,skerry2013,5_unconstrainedactionhabituation,103,9.066667,6.866667,m
128,skerry2013,5_unconstrainedactionhabituation,114,19.4,14.533333,f
129,skerry2013,5_unconstrainedactionhabituation,100,19.4,12.433333,f
130,skerry2013,5_unconstrainedactionhabituation,111,28.333333,22.766667,m
131,skerry2013,5_unconstrainedactionhabituation,109,6.3,5.733333,m
132,skerry2013,5_unconstrainedactionhabituation,98,45,45,m
133,skerry2013,5_unconstrainedactionhabituation,102,5.5,3.966667,f
134,skerry2013,5_unconstrainedactionhabituation,106,12.433333,8.2,f
135,skerry2013,5_unconstrainedactionhabituation,105,9.033333,10.933333,f
136,skerry2013,5_unconstrainedactionhabituation,115,6.866667,8.433333,m
137,skerry2013,5_unconstrainedactionhabituation,119,16.3,6.433333,m
138,skerry2013,5_unconstrainedactionhabituation,103,6.366667,6.433333,f
139,skerry2013,5_unconstrainedactionhabituation,122,7.7,9.733333,f
140,skerry2013,5_unconstrainedactionhabituation,105,17.666667,10.633333,f
141,skerry2013,5_unconstrainedactionhabituation,118,5.366667,7.266667,m
142,skerry2013,5_unconstrainedactionhabituation,102,16.266667,16.3,f
143,skerry2013,5_unconstrainedactionhabituation,122,6.6,10.066667,m
144,skerry2013,5_unconstrainedactionhabituation,110,6.033333,25.966667,m
145,skerry2013,5_unconstrainedactionhabituation,114,10.466667,11.066667,m
146,skerry2013,5_unconstrainedactionhabituation,100,14.833333,12.633333,m
147,skerry2013,5_unconstrainedactionhabituation,100,9.7,14.4,m
148,skerry2013,5_unconstrainedactionhabituation,96,32.3,26.066667,f
149,gerson2014a,1_Active,94.364,9.1,3.02,female
150,gerson2014a,1_Active,106.54,9.72,19.15,female
151,gerson2014a,1_Active,117.8028,5.5,8.42,female
152,gerson2014a,1_Active,98.3212,2.04,5.36,female
153,gerson2014a,1_Active,106.54,52.2,48.4,female
154,gerson2014a,1_Active,114.7588,9.27,6.63,female
155,gerson2014a,1_Active,118.716,2.15,6.35,female
156,gerson2014a,1_Active,105.6268,15.3,5.07,male
157,gerson2014a,1_Active,101.3652,9.97,12.26,male
158,gerson2014a,1_Active,101.3652,4.45,17.83,male
159,gerson2014a,1_Active,104.4092,1.86,3.02,male
160,gerson2014a,1_Active,107.4532,10.31,7.09,female
161,gerson2014a,1_Active,121.76,26.02,64,male
162,gerson2014a,1_Active,112.628,3.12,10.65,female
163,gerson2014a,1_Active,108.6708,0.9,1.28,male
164,gerson2014a,1_Active,103.496,9.16,4.41,female
165,gerson2014a,1_Active,91.32,1.26,4.32,male
166,gerson2014a,1_Active,94.364,3.28,9.89,female
167,gerson2014a,1_Active,121.76,1.79,3.04,female
168,gerson2014a,1_Active,99.5388,5.84,2.25,female
169,gerson2014a,1_Active,91.32,40.54,29.56,male
170,gerson2014a,1_Active,113.5412,3.74,12.25,male
171,gerson2014a,1_Active,103.496,8.67,15.26,female
172,gerson2014a,1_Active,94.364,3.53,5.27,male
173,gerson2014a,1_Observation,119.6292,5.58,9.82,female
174,gerson2014a,1_Observation,100.452,15.29,9.94,female
175,gerson2014a,1_Observation,94.364,4.33,8.91,male
176,gerson2014a,1_Observation,94.364,15.39,21.74,female
177,gerson2014a,1_Observation,95.2772,3.91,3.97,male
178,gerson2014a,1_Observation,94.364,17.52,39.43,male
179,gerson2014a,1_Observation,96.4948,10.74,1.01,male
180,gerson2014a,1_Observation,121.76,6.65,7.84,male
181,gerson2014a,1_Observation,119.6292,12.35,11.81,female
182,gerson2014a,1_Observation,104.4092,4.69,1.32,female
183,gerson2014a,1_Observation,97.408,33.4,5.92,female
184,gerson2014a,1_Observation,106.54,5.24,1.37,female
185,gerson2014a,1_Observation,119.6292,1.18,2.58,male
