Script,Subject.ID,Sex,Age.Month,Age.Day,Age.Decimal,Preferred.Location..L.R.,Test.PL.Object,PL.Starting.Object,PL.Test.Order,Video.Quality,Device,LT,Type,TrialPair,Trial.N
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,Laptop,0.61,Different_Object,Pair 3,5
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,Laptop,7.63,Different_Object,Pair 3,5
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,Laptop,3.93,Different_Object,Pair 3,6
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,Laptop,,Different_Object,Pair 3,6
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,Laptop,3.06,Different_Object,Pair 3,6
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,Laptop,3.52,Different_Object,Pair 3,5
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,Laptop,0.64,Different_Object,Pair 3,5
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,Laptop,,Different_Object,Pair 3,6
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,Laptop,1.98,Different_Object,Pair 3,6
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,Laptop,26.98,Different_Object,Pair 3,6
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,Laptop,2.53,Different_Object,Pair 3,6
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,Laptop,3.29,Different_Object,Pair 3,5
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,Laptop,,Different_Object,Pair 3,6
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,Laptop,4.23,Different_Object,Pair 3,5
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,Laptop,0.45,Different_Object,Pair 3,5
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,Laptop,9,Different_Object,Pair 3,5
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,Laptop,,Different_Location,Pair 1,1
2b,p67,M,3,25,3.833333333,R,Teddy,Ball,1,3,Laptop,24.26,Different_Location,Pair 1,2
3b,p70,M,3,2,3.066666667,R,Ball,Teddy,2,5,Tablet,21.66,Different_Location,Pair 1,1
4b,p72,M,3,1,3.033333333,L,Ball,Teddy,2,5,Laptop,14.26,Different_Location,Pair 1,1
5b,p73,F,3,29,3.966666667,L,Ball,Teddy,1,5,Laptop,4.65,Different_Location,Pair 1,2
6b,p66,F,3,8,3.266666667,R,Teddy,Ball,2,5,Laptop,9.51,Different_Location,Pair 1,1
7b,p71,M,3,23,3.766666667,L,Teddy,Ball,1,5,Laptop,68.74,Different_Location,Pair 1,2
8b,p68,F,3,20,3.666666667,R,Ball,Teddy,1,5,Laptop,6.67,Different_Location,Pair 1,2
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,Laptop,20.86,Different_Location,Pair 1,2
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,Laptop,24.55,Different_Location,Pair 1,2
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,Laptop,23.5,Different_Location,Pair 1,1
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,Laptop,45.7,Different_Location,Pair 1,1
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,Laptop,2.07,Different_Location,Pair 1,1
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,Laptop,11.12,Different_Location,Pair 1,2
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,Laptop,1.48,Different_Location,Pair 1,2
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,Laptop,1.78,Different_Location,Pair 1,1
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,Laptop,5.11,Different_Location,Pair 1,1
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,Laptop,7.65,Different_Location,Pair 1,1
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,Laptop,4.85,Different_Location,Pair 1,1
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,Laptop,7.47,Different_Location,Pair 1,2
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,Laptop,4.27,Different_Location,Pair 1,1
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,Laptop,18.45,Different_Location,Pair 1,2
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,Laptop,4.57,Different_Location,Pair 1,2
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,Laptop,3.71,Different_Location,Pair 1,2
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,Laptop,6.17,Different_Location,Pair 2,3
2b,p67,M,3,25,3.833333333,R,Teddy,Ball,1,3,Laptop,9.67,Different_Location,Pair 2,4
3b,p70,M,3,2,3.066666667,R,Ball,Teddy,2,5,Tablet,58.48,Different_Location,Pair 2,3
4b,p72,M,3,1,3.033333333,L,Ball,Teddy,2,5,Laptop,10.97,Different_Location,Pair 2,3
5b,p73,F,3,29,3.966666667,L,Ball,Teddy,1,5,Laptop,,Different_Location,Pair 2,4
6b,p66,F,3,8,3.266666667,R,Teddy,Ball,2,5,Laptop,39.26,Different_Location,Pair 2,3
7b,p71,M,3,23,3.766666667,L,Teddy,Ball,1,5,Laptop,47.86,Different_Location,Pair 2,4
8b,p68,F,3,20,3.666666667,R,Ball,Teddy,1,5,Laptop,10.49,Different_Location,Pair 2,4
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,Laptop,28.23,Different_Location,Pair 2,4
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,Laptop,9.79,Different_Location,Pair 2,4
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,Laptop,19.48,Different_Location,Pair 2,3
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,Laptop,14.37,Different_Location,Pair 2,3
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,Laptop,1.27,Different_Location,Pair 2,3
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,Laptop,13.83,Different_Location,Pair 2,4
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,Laptop,0.87,Different_Location,Pair 2,4
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,Laptop,6.91,Different_Location,Pair 2,3
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,Laptop,7.28,Different_Location,Pair 2,3
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,Laptop,3.79,Different_Location,Pair 2,3
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,Laptop,3.68,Different_Location,Pair 2,3
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,Laptop,5.49,Different_Location,Pair 2,4
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,Laptop,4.86,Different_Location,Pair 2,3
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,Laptop,10.29,Different_Location,Pair 2,4
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,Laptop,2.97,Different_Location,Pair 2,4
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,Laptop,13.16,Different_Location,Pair 2,4
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,Laptop,,Different_Location,Pair 3,5
2b,p67,M,3,25,3.833333333,R,Teddy,Ball,1,3,Laptop,24.47,Different_Location,Pair 3,6
3b,p70,M,3,2,3.066666667,R,Ball,Teddy,2,5,Tablet,22.39,Different_Location,Pair 3,5
4b,p72,M,3,1,3.033333333,L,Ball,Teddy,2,5,Laptop,12.46,Different_Location,Pair 3,5
5b,p73,F,3,29,3.966666667,L,Ball,Teddy,1,5,Laptop,4.55,Different_Location,Pair 3,6
6b,p66,F,3,8,3.266666667,R,Teddy,Ball,2,5,Laptop,5.21,Different_Location,Pair 3,5
7b,p71,M,3,23,3.766666667,L,Teddy,Ball,1,5,Laptop,13.76,Different_Location,Pair 3,6
8b,p68,F,3,20,3.666666667,R,Ball,Teddy,1,5,Laptop,,Different_Location,Pair 3,6
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,Laptop,27,Different_Location,Pair 3,6
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,Laptop,9.33,Different_Location,Pair 3,6
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,Laptop,5.64,Different_Location,Pair 3,5
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,Laptop,5.38,Different_Location,Pair 3,5
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,Laptop,3.94,Different_Location,Pair 3,5
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,Laptop,17.76,Different_Location,Pair 3,6
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,Laptop,1.27,Different_Location,Pair 3,6
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,Laptop,3.86,Different_Location,Pair 3,5
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,Laptop,4.17,Different_Location,Pair 3,5
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,Laptop,7.69,Different_Location,Pair 3,5
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,Laptop,10.77,Different_Location,Pair 3,5
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,Laptop,11.57,Different_Location,Pair 3,6
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,Laptop,7.37,Different_Location,Pair 3,5
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,Laptop,25.59,Different_Location,Pair 3,6
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,Laptop,1.44,Different_Location,Pair 3,6
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,Laptop,8.22,Different_Location,Pair 3,6
