Relabeled.Script,Script,Subject.ID,Sex,Age.Month,Age.Day,Age.Decimal,Preferred.Object,PO.Starting.Location,PO.Test.Side,PO.Test.Order,Video.Quality,Device,LT,Type,TrialPair,Trial.N
6a,1,p28,F,3,5,3.166666667,Ball,L,R,1,5,Laptop,5.99,Different_Location,Pair 3,5
7a,6,p32,M,3,23,3.766666667,Bear,L,R,2,5,Laptop,6.51,Different_Location,Pair 3,6
4b,5,p33,M,3,4,3.133333333,Bear,L,R,1,5,Laptop,3.47,Different_Location,Pair 3,5
3a,8,p25,M,4,0,4,Bear,R,L,2,5,Laptop,,Different_Location,Pair 3,6
3b,1,p38,M,3,20,3.666666667,Ball,L,R,1,4,Laptop,8.01,Different_Location,Pair 3,5
2b,8,p30,F,3,24,3.8,Bear,R,L,2,5,Laptop,0.48,Different_Location,Pair 3,6
7c,1,p43,M,3,5,3.166666667,Ball,L,R,1,5,Laptop,,Different_Location,Pair 3,5
5c,7,p44,F,3,30,4,Bear,R,L,1,4,Laptop,5.43,Different_Location,Pair 3,5
6b,7,p39,M,3,8,3.266666667,Bear,R,L,1,5,Laptop,11.79,Different_Location,Pair 3,5
2c,6,p40,F,3,6,3.2,Bear,L,R,2,4.5,Laptop,3.01,Different_Location,Pair 3,6
8b,6,p37,M,3,5,3.166666667,Bear,L,R,2,5,Laptop,4.9,Different_Location,Pair 3,6
6c,3,p46,M,3,18,3.6,Ball,R,L,1,4,Laptop,6.18,Different_Location,Pair 3,5
4a,5,p29,F,3,6,3.2,Bear,L,R,1,5,Laptop,7.94,Different_Location,Pair 3,5
3c,5,p43,M,3,3,3.1,Bear,L,R,1,3.5,Desktop,16.78,Different_Location,Pair 3,5
1b,4,p36,F,3,22,3.733333333,Ball,R,L,2,4,Laptop,4.85,Different_Location,Pair 3,6
1a,3,p31,F,3,6,3.2,Ball,R,L,1,5,Laptop,1.6,Different_Object,Pair 1,2
8a,7,p24,F,3,9,3.3,Bear,R,L,1,4,Laptop,4.87,Different_Object,Pair 1,2
7b,3,p35,F,3,18,3.6,Ball,R,L,1,5,Laptop,3.52,Different_Object,Pair 1,2
5b,2,p34,M,3,22,3.733333333,Ball,L,R,2,5,Laptop,16.07,Different_Object,Pair 1,1
8c,2,p42,M,3,0,3,Ball,L,R,2,5,Laptop,62.7,Different_Object,Pair 1,1
1c,4,p47,M,3,0,3,Ball,R,L,2,5,Laptop,3.57,Different_Object,Pair 1,1
4c,8,p41,M,3,7,3.233333333,Bear,R,L,2,5,Laptop,9.29,Different_Object,Pair 1,1
5a,4,p27,M,3,7,3.233333333,Ball,R,L,2,3,Laptop,6.04,Different_Object,Pair 1,1
2a,2,p26,M,3,28,3.933333333,Ball,L,R,2,5,Laptop with monitor,,Different_Object,Pair 1,1
6a,1,p28,F,3,5,3.166666667,Ball,L,R,1,5,Laptop,7.66,Different_Object,Pair 1,2
7a,6,p32,M,3,23,3.766666667,Bear,L,R,2,5,Laptop,6.12,Different_Object,Pair 1,1
4b,5,p33,M,3,4,3.133333333,Bear,L,R,1,5,Laptop,15.78,Different_Object,Pair 1,2
3a,8,p25,M,4,0,4,Bear,R,L,2,5,Laptop,14.88,Different_Object,Pair 1,1
3b,1,p38,M,3,20,3.666666667,Ball,L,R,1,4,Laptop,3.73,Different_Object,Pair 1,2
2b,8,p30,F,3,24,3.8,Bear,R,L,2,5,Laptop,4.41,Different_Object,Pair 1,1
7c,1,p43,M,3,5,3.166666667,Ball,L,R,1,5,Laptop,19.54,Different_Object,Pair 1,2
5c,7,p44,F,3,30,4,Bear,R,L,1,4,Laptop,6.15,Different_Object,Pair 1,2
6b,7,p39,M,3,8,3.266666667,Bear,R,L,1,5,Laptop,8.92,Different_Object,Pair 1,2
2c,6,p40,F,3,6,3.2,Bear,L,R,2,4.5,Laptop,6.48,Different_Object,Pair 1,1
8b,6,p37,M,3,5,3.166666667,Bear,L,R,2,5,Laptop,44.34,Different_Object,Pair 1,1
6c,3,p46,M,3,18,3.6,Ball,R,L,1,4,Laptop,9.17,Different_Object,Pair 1,2
4a,5,p29,F,3,6,3.2,Bear,L,R,1,5,Laptop,28.63,Different_Object,Pair 1,2
3c,5,p43,M,3,3,3.1,Bear,L,R,1,3.5,Desktop,45.84,Different_Object,Pair 1,2
1b,4,p36,F,3,22,3.733333333,Ball,R,L,2,4,Laptop,3.09,Different_Object,Pair 1,1
1a,3,p31,F,3,6,3.2,Ball,R,L,1,5,Laptop,1.41,Different_Object,Pair 2,4
8a,7,p24,F,3,9,3.3,Bear,R,L,1,4,Laptop,1.72,Different_Object,Pair 2,4
